date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:59	2350/2350	---M--	200	added ('OK')	text/xml	date:Sun,%2004%20May%202025%2020:04:58%20GMT	http://localhost/antibes/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fantibes%2F&format=xml	C:/MyWebSites/antibes/localhost/antibes/wp-json/oembed/1.0/embedb8de	(from http://localhost/antibes/)
22:05:00	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2004%20May%202025%2020:04:59%20GMT	http://localhost/antibes/xmlrpc.php	C:/MyWebSites/antibes/localhost/antibes/xmlrpc.php	(from http://localhost/antibes/)
22:05:01	3472/3472	---M--	200	added ('OK')	font/woff2	etag:%22d90-6343695bdb602%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.woff2	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.woff2	(from http://localhost/antibes/)
22:05:02	4300/4300	---M--	200	added ('OK')	font/woff	etag:%2210cc-6343695bdb602%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.woff	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.woff	(from http://localhost/antibes/)
22:05:03	7356/7356	---M--	200	added ('OK')	font/ttf	etag:%221cbc-6343695bdb602%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.ttf	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.ttf	(from http://localhost/antibes/)
22:05:03	3074/3074	---M--	200	added ('OK')	image/svg+xml	etag:%22c02-6343695bdb21b%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.svg	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.svg	(from http://localhost/antibes/)
22:05:05	7580/7580	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d9c-6343695bdb21b%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.eot	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.eot	(from http://localhost/antibes/)
22:05:06	7580/7580	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d9c-6343695bdb21b%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfold.eot?	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello-enfold/entypo-fontello-enfoldd41d.eot	(from http://localhost/antibes/)
22:05:09	91209/91209	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20May%202025%2020:04:55%20GMT	http://localhost/antibes/wp-json/wp/v2/pages/2	C:/MyWebSites/antibes/localhost/antibes/wp-json/wp/v2/pages/2.json	(from http://localhost/antibes/)
22:05:13	39912/39912	---M--	200	added ('OK')	font/woff2	etag:%229be8-6343695bdaa44%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.woff2	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.woff2	(from http://localhost/antibes/)
22:05:17	48840/48840	---M--	200	added ('OK')	font/woff	etag:%22bec8-6343695bdaa44%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.woff	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.woff	(from http://localhost/antibes/)
22:05:17	115002/115002	---M--	200	added ('OK')	image/svg+xml	etag:%221c13a-6343695bda45f%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.svg	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.svg	(from http://localhost/antibes/)
22:05:24	161144/161144	---M--	200	added ('OK')	image/png	etag:%2227578-6343695cc9224%22	http://localhost/antibes/wp-content/uploads/2025/05/1746185417172.png	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/1746185417172.png	(from http://localhost/antibes/)
22:05:26	78736/78736	---M--	200	added ('OK')	font/ttf	etag:%2213390-6343695bdaa44%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.ttf	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.ttf	(from http://localhost/antibes/)
22:05:31	78932/78932	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2213454-6343695bda45f%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.eot	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.eot	(from http://localhost/antibes/)
22:05:36	176383/176383	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:05:31%20GMT	http://localhost/antibes/housing/	C:/MyWebSites/antibes/localhost/antibes/housing/index.html	(from http://localhost/antibes/)
22:05:39	160679/160679	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2020:05:36%20GMT	http://localhost/antibes/wp-content/uploads/2025/05/ls-project-2-slide-1.jpg	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/ls-project-2-slide-1.25.delayed	(from http://localhost/antibes/)
22:05:40	78932/78932	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2213454-6343695bda45f%22	http://localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontello.eot?	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello/entypo-fontellod41d.eot	(from http://localhost/antibes/)
22:05:47	161944/161944	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:05:39%20GMT	http://localhost/antibes/baggage/	C:/MyWebSites/antibes/localhost/antibes/baggage/index.html	(from http://localhost/antibes/)
22:05:47	287296/287296	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20May%202025%2020:04:55%20GMT	http://localhost/antibes/wp-json/	C:/MyWebSites/antibes/localhost/antibes/wp-json/index.html	(from http://localhost/antibes/)
22:05:47	161957/161957	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:05:40%20GMT	http://localhost/antibes/services/	C:/MyWebSites/antibes/localhost/antibes/services/index.html	(from http://localhost/antibes/)
22:05:55	205902/205902	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:05:47%20GMT	http://localhost/antibes/blog/	C:/MyWebSites/antibes/localhost/antibes/blog/index.html	(from http://localhost/antibes/)
22:06:00	161944/161944	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:05:56%20GMT	http://localhost/antibes/contact/	C:/MyWebSites/antibes/localhost/antibes/contact/index.html	(from http://localhost/antibes/)
22:06:00	47050/47050	---M--	200	added ('OK')	text/html	etag:%22b7ca-63439181c22d7%22	http://localhost/antibes/wp-content/uploads/2025/05/photo.avif	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/photo.html	(from http://localhost/antibes/)
22:06:04	161902/161902	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:06:00%20GMT	http://localhost/antibes/?s=	C:/MyWebSites/antibes/localhost/antibes/index1919.html	(from http://localhost/antibes/)
22:06:04	30210/30210	---M--	200	added ('OK')	text/html	etag:%227602-6344d0733d399%22	http://localhost/antibes/wp-content/uploads/2025/05/p12hot3o.avif	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/p12hot3o.html	(from http://localhost/antibes/)
22:06:05	43556/43556	---M--	200	added ('OK')	text/html	etag:%22aa24-6344cf4662bb1%22	http://localhost/antibes/wp-content/uploads/2025/05/fpee-1.avif	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/fpee-1.html	(from http://localhost/antibes/)
22:06:07	52634/52634	---M--	200	added ('OK')	text/html	etag:%22cd9a-6344cf03035c5%22	http://localhost/antibes/wp-content/uploads/2025/05/phot3o.avif	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/phot3o.html	(from http://localhost/antibes/)
22:06:09	88947/88947	---M--	200	added ('OK')	text/html	etag:%2215b73-6344cf4aa3f52%22	http://localhost/antibes/wp-content/uploads/2025/05/phot3o-1.avif	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/phot3o-1.html	(from http://localhost/antibes/)
22:06:11	137836/137836	---M--	200	added ('OK')	text/html	etag:%2221a6c-634391861a5d8%22	http://localhost/antibes/wp-content/uploads/2025/05/photo2.avif	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/photo2.html	(from http://localhost/antibes/)
22:06:13	235272/235272	---M--	200	added ('OK')	text/html	etag:%2239708-6344d197999ad%22	http://localhost/antibes/wp-content/uploads/2025/05/ph22ot3o.avif	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/ph22ot3o.html	(from http://localhost/antibes/)
22:06:15	114060/114060	---M--	200	added ('OK')	image/webp	etag:%221bd8c-6343918a63961%22	http://localhost/antibes/wp-content/uploads/2025/05/photo3.webp	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/photo3.webp	(from http://localhost/antibes/)
22:06:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20May%202025%2020:06:14%20GMT	http://localhost/antibes/contact	C:/MyWebSites/antibes/localhost/antibes/contact	(from http://localhost/antibes/)
22:06:16	104802/104802	---M--	200	added ('OK')	image/svg+xml	etag:%2219962-6343695cca804%22	http://localhost/antibes/wp-content/uploads/2025/05/logo-1.svg	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/2025/05/logo-1.svg	(from http://localhost/antibes/)
22:06:17	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2004%20May%202025%2020:06:16%20GMT	http://localhost/antibes/wp-admin/admin-ajax.php	C:/MyWebSites/antibes/localhost/antibes/wp-admin/admin-ajax.php	(from http://localhost/antibes/)
22:06:20	1923/1923	---M--	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:06:17%20GMT	http://localhost/antibes/wp-content/themes/enfold/framework/	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/framework/index.html	(from http://localhost/antibes/)
22:06:20	0/0	---M--	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2020:06:20%20GMT	http://localhost/antibes/wp-content/themes/enfold/	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/index.html	(from http://localhost/antibes/)
22:06:20	160679/160679	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2020:06:15%20GMT	http://localhost/antibes/privacy-policy/	C:/MyWebSites/antibes/localhost/antibes/privacy-policy/index.html	(from http://localhost/antibes/)
22:06:21	4776/4776	---M--	200	added ('OK')	text/javascript	etag:%2212a8-63410924c0f8b%22	http://localhost/antibes/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6	C:/MyWebSites/antibes/localhost/antibes/wp-includes/js/dist/hooks.min4fdd.js	(from http://localhost/antibes/)
22:06:22	9141/9141	---M--	200	added ('OK')	text/javascript	etag:%2223b5-6341092593a42%22	http://localhost/antibes/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6	C:/MyWebSites/antibes/localhost/antibes/wp-includes/js/dist/i18n.minc33c.js	(from http://localhost/antibes/)
22:06:24	12512/12512	---M--	200	added ('OK')	text/javascript	etag:%2230e0-63436956c488d%22	http://localhost/antibes/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.0.6	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/contact-form-7/includes/swv/js/indexfc7a.js	(from http://localhost/antibes/)
22:06:24	860/860	---M--	200	added ('OK')	text/javascript	etag:%2235c-6344cbfc5ad59%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/js/social-icons-widget-frontend.js?ver=1746354099	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/js/social-icons-widget-frontend1247.js	(from http://localhost/antibes/)
22:06:25	13452/13452	---M--	200	added ('OK')	text/javascript	etag:%22348c-63436956bfe16%22	http://localhost/antibes/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.0.6	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/contact-form-7/includes/js/indexfc7a.js	(from http://localhost/antibes/)
22:06:44	122755/122755	---M--	200	added ('OK')	text/javascript	etag:%221df83-6343695b4ec45%22	http://localhost/antibes/wp-content/themes/enfold/config-layerslider/LayerSlider/assets/static/layerslider/js/layerslider.utils.js?ver=7.14.0	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-layerslider/LayerSlider/assets/static/layerslider/js/layerslider.utils00ee.js	(from http://localhost/antibes/)
22:06:50	32526/32526	---M--	200	added ('OK')	text/javascript	etag:%227f0e-6343695b4e862%22	http://localhost/antibes/wp-content/themes/enfold/config-layerslider/LayerSlider/assets/static/layerslider/js/layerslider.transitions.js?ver=7.14.0	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-layerslider/LayerSlider/assets/static/layerslider/js/layerslider.transitions00ee.js	(from http://localhost/antibes/)
22:07:09	276752/276752	---M--	200	added ('OK')	text/javascript	etag:%2243910-6343695b4e098%22	http://localhost/antibes/wp-content/themes/enfold/config-layerslider/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=7.14.0	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/config-layerslider/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jquery00ee.js	(from http://localhost/antibes/)
22:07:18	51248/51248	---M--	200	added ('OK')	font/woff2	etag:%22c830-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/socicon.woff2?v=4.3.3	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/sociconfac5.woff2	(from http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/wpzoom-socicon.css?ver=1746354099)
22:07:23	202919/202919	---M--	200	added ('OK')	text/javascript	etag:%22318a7-6345379e74a6a%22	http://localhost/antibes/wp-content/uploads/dynamic_avia/avia-footer-scripts-f4304f59560738f4631f56919d19f294---6817b09060421.js	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/dynamic_avia/avia-footer-scripts-f4304f59560738f4631f56919d19f294---6817b09060421.js	(from http://localhost/antibes/)
22:07:23	28500/28500	---M--	200	added ('OK')	font/woff2	etag:%226f54-6344cbfc59782%22	http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/academicons.woff2?v=1.8.7	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/font/academiconsa7b0.woff2	(from http://localhost/antibes/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/academicons.min.css?ver=1746354099)
22:07:32	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dcf4-63410918cb342%22	http://localhost/antibes/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/MyWebSites/antibes/localhost/antibes/wp-includes/fonts/dashicons7d4b.eot	(from http://localhost/antibes/wp-includes/css/dashicons.min.css?ver=6.8.1)
22:07:32	56392/56392	---M--	200	added ('OK')	font/ttf	etag:%22dc48-63410918e218d%22	http://localhost/antibes/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	C:/MyWebSites/antibes/localhost/antibes/wp-includes/fonts/dashicons7d4b.ttf	(from http://localhost/antibes/wp-includes/css/dashicons.min.css?ver=6.8.1)
22:07:33	2093/2093	---M--	200	added ('OK')	image/gif	etag:%2282d-6343695c47266%22	http://localhost/antibes/wp-content/themes/enfold/images/layout/loading.gif	C:/MyWebSites/antibes/localhost/antibes/wp-content/themes/enfold/images/layout/loading.gif	(from http://localhost/antibes/wp-content/uploads/dynamic_avia/avia-merged-styles-fd5dfc15b63d2196a1043250fa05ca18---6817b92752ff0.css)
22:07:33	53275/53275	---M--	200	added ('OK')	text/css	etag:%22d01b-6343695702c69%22	http://localhost/antibes/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.28.4	C:/MyWebSites/antibes/localhost/antibes/wp-content/plugins/elementor/assets/css/frontend.min89ce.css	(from http://localhost/antibes/housing/)
22:07:34	1164/1164	---M--	200	added ('OK')	text/css	etag:%2248c-63454aa6b8b09%22	http://localhost/antibes/wp-content/uploads/elementor/css/post-7.css?ver=1746388101	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/elementor/css/post-7a37b.css	(from http://localhost/antibes/housing/)
22:07:34	285/285	---M--	200	added ('OK')	text/css	etag:%2211d-634543b88db41%22	http://localhost/antibes/wp-content/uploads/dynamic_avia/avia_posts_css/post-173.css?ver=ver-1746386240	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/dynamic_avia/avia_posts_css/post-173c30a.css	(from http://localhost/antibes/housing/)
22:07:34	107406/107406	---M--	200	added ('OK')	text/css	etag:%221a38e-6345461eb3046%22	http://localhost/antibes/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1746386884	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/elementor/google-fonts/css/roboto9176.css	(from http://localhost/antibes/housing/)
22:07:36	24948/24948	---M--	200	added ('OK')	text/css	etag:%226174-6345463c3eec4%22	http://localhost/antibes/wp-content/uploads/elementor/google-fonts/css/robotoslab.css?ver=1746386915	C:/MyWebSites/antibes/localhost/antibes/wp-content/uploads/elementor/google-fonts/css/robotoslab2096.css	(from http://localhost/antibes/housing/)
22:07:42	23236/23236	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20May%202025%2020:07:36%20GMT	http://localhost/antibes/wp-json/wp/v2/pages/173	C:/MyWebSites/antibes/localhost/antibes/wp-json/wp/v2/pages/173.json	(from http://localhost/antibes/housing/)
